version	date	source	adminer	adminer-en	adminer-mysql	languages	drivers	plugin drivers
v6.0.1	2026-08-14	1601.904	519.492	372.420	407.348	47	5	8
v6.0.0	2026-08-07	1528.056	503.412	360.760	393.013	47	5	8
v5.5.1	2026-07-21	1441.604	498.455	339.580	398.083	47	5	8
v5.5.0	2026-07-17	1302.000	515.911	332.855	416.375	47	5	8
v5.4.4	2026-07-11	1302.563	515.223	331.417	416.110	47	5	7
v5.4.3	2026-07-09	1300.370	513.869	330.071	414.761	47	5	7
v5.4.2	2026-02-08	1282.439	508.623	328.667	410.122	46	5	7
v5.4.1	2025-09-26	1282.087	507.471	328.674	409.324	46	5	6
v5.4.0	2025-09-08	1281.453	507.284	328.402	409.155	46	5	6
v5.3.0	2025-05-04	1276.789	504.560	326.493	406.648	46	5	6
v5.2.1	2025-04-11	1238.570	493.022	320.761	398.032	45	5	6
v5.2.0	2025-04-08	1239.340	493.500	321.239	398.513	45	5	6
v5.1.1	2025-04-02	1235.584	486.330	314.629	392.117	45	5	6
v5.1.0	2025-03-24	1240.300	490.765	318.950	395.818	45	5	6
v5.0.6	2025-03-17	1203.671	477.090	311.217	382.394	44	5	5
v5.0.5	2025-03-13	1199.906	475.481	309.802	381.074	44	5	5
v5.0.4	2025-03-11	1209.307	481.670	315.957	379.276	44	6	4
v5.0.3	2025-03-11	1209.307	481.702	315.989	379.276	44	6	4
v5.0.2	2025-03-10	1207.485	481.269	315.503	378.946	44	6	4
v5.0.1	2025-03-07	1206.052	481.447	315.345	378.855	44	6	4
v5.0.0	2025-03-07	1205.937	481.342	315.240	378.680	44	6	5
v4.17.1	2025-02-25	1207.866	482.615	316.536	376.752	44	6	5
v4.17.0	2025-02-24	1207.778	482.431	316.352	376.664	44	6	5
v4.16.0	2025-02-20	1203.918	476.484	313.464	370.379	44	6	5
v4.15.0	2025-02-19	1204.093	476.119	312.690	370.563	44	6	5
v4.14.0	2025-02-02	1204.229	476.249	312.820	370.660	44	6	5
v4.12.0	2024-11-21	1202.920	476.223	312.800	370.643	44	6	5
v4.11.0	2024-10-30	1202.354	475.945	312.521	370.476	44	6	5
v4.10.0	2024-10-22	1201.785	475.690	312.277	370.334	44	6	5
v4.9.4	2024-10-09	1201.516	475.567	312.154	370.211	44	6	5
v4.9.3	2024-10-02	1200.909	475.324	311.911	369.968	44	6	5
v4.9.2	2024-09-18	1198.691	473.933	310.520	368.845	44	6	5
v4.9.1	2024-09-09	1198.472	473.830	310.417	368.791	44	6	5
